#
#  halomonas_cubes_take2cyc 1.0 Reactions link table generated on Wed Sep 13, 2023
#
RXN-14047	EC-4.2.1.3
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
RXN-22611	EC-2.4.1.227
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN0-5063	EC-2.8.4.3
RXN1ZN3-9	
RXN-14480	
RXN1ZN3-10	
RXN-14481	
RXN-11029	EC-2.4.1.227
RXN-16615	EC-2.3.1.179	EC-2.3.1.41
FUMHYDR-RXN	EC-4.2.1.2
RXN-21649	EC-2.3.1.179
RXN-17823	EC-2.1.1
RXN-11346	EC-2.4.1.227
RXN-11475	EC-2.1.1.197
6PFRUCTPHOS-RXN	EC-2.7.1.11
AIRS-RXN	EC-6.3.3.1
RXN-11483	EC-3.1.1.85
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	EC-1.14.13.2
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN-16112	EC-1.1.1.330
NACGLCTRANS-RXN	EC-2.4.1.227
GART-RXN	EC-2.1.2.2
RXN-16621	EC-2.3.1.179	EC-2.3.1.41
RXN0-1241	EC-2.1.1.298
RXN-17109	EC-1.1.1.330
RXN-8976	EC-2.4.1.227
RXN-11484	EC-2.3.1.47
RXN-14118	EC-3.5.4.13
RXN-11462	EC-1.14.13
7KAPSYN-RXN	EC-2.3.1.47
RXN-11493	EC-1.14.13
DCTP-DEAM-RXN	EC-3.5.4.13
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
RXN-9516	EC-2.3.1.179	EC-2.3.1.41
RXN-12038	EC-2.4.1.266
2.8.1.6-RXN	EC-2.8.1.6
RXN-8851	EC-2.4.1.266
RXN-17472	
RXN-17473	
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
RXN-23257	EC-6.3.2.4
SIROHEME-FERROCHELAT-RXN	EC-4.99.1.4
DALADALALIG-RXN	EC-6.3.2.4
RXN-21298	EC-2.4.1.266
RXN-15364	EC-1.13.11.91
RXN-15363	EC-6.2.1
RXN-7908	EC-4.2.1.96
RXN-15362	EC-3.13.1.4
LYSDECARBOX-RXN	EC-4.1.1.18
RXN-12041	EC-2.4.1.266
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-1.14.99.60
RXN-14206	EC-4.2.1.96
RXN0-5234	EC-4.1.2
RXN-20788	EC-3.5.1.108
3.1.3.70-RXN	EC-3.1.3.70
TRANS-RXN2R0Y-14	
RXN-11591	EC-2.1.1.176
RXN-22247	EC-3.5.1.108
RXN2B4Q-49	EC-3.5.1.108
RXN-15590	EC-4.2.1.176
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
RXN-23222	EC-3.5.1.108
TRANS-RXN-167	EC-2.7.1.193
RXN-14569	EC-2.7.7.87
RXN-22242	EC-3.5.1.108
RXN-13908	EC-4.2.1.96
RXN-15185	EC-2.7.1.193
HYDROXY-MANDELATE-RACEMASE-RXN	EC-5.1.2.2
RXN0-1461	EC-1.3.3.3
RXN-22481	EC-3.5.1.108
TRANS-RXN-1	
TRANS-RXN2R0Y-10	
RXN-8957	EC-1.3.1.85
RXN-15184	EC-2.7.1.193
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
MANDELATE-RACEMASE-RXN	EC-5.1.2.2
TRANS-RXN2R0Y-16	
2.7.3.9-RXN	EC-2.7.3.9
RXN-15878	EC-1.17.7.3
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
RXN-17354	
MUCONATE-CYCLOISOMERASE-RXN	EC-5.5.1.1
RXN-17355	
RXN-11586	EC-2.1.1.192
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
RXN0-6948	EC-2.3.1.1
RXN-18590	EC-1.1.1.411
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-18595	EC-2.7.1.217
3.5.1.80-RXN	EC-3.5.1.25
GLY3KIN-RXN	EC-2.7.1.31
RXN-18594	EC-2.7.1.217
RXN-14280	EC-1.2.1.3
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
NAG6PDEACET-RXN	EC-3.5.1.25
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
RXN6666-5	EC-1.2.1.3
RXN0-5131	EC-2.7.7
TRANS-RXN2R0Y-3	
3.1.13.1-RXN	EC-3.1.13.1
GLYCINE-AMINOTRANSFERASE-RXN	EC-2.6.1.4
RXN2B4Q-53	EC-2.7.1.130
RXN2DNV-43	EC-6.3.2.12
RXN0-6479	EC-3.1.13.1
RXN0-6525	EC-3.1.13.1
DGDPKIN-RXN	EC-2.7.4.6
RXN2DNV-3	EC-2.7.1.130
5.3.4.1-RXN	EC-5.3.4.1
CDPKIN-RXN	EC-2.7.4.6
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
RXN0-4222	EC-3.1.13.1
TRANS-RXN-412	
RXN-20784	EC-2.7.1.130
DADPKIN-RXN	EC-2.7.4.6
RXN0-6524	EC-3.1.13.1
TRANS-RXN-283	
RXN-13853	EC-1.7.1
RXN2G6Z-1	EC-2.7.1.130
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
GDPKIN-RXN	EC-2.7.4.6
RXN-6341	EC-6.3.2.17
UDPKIN-RXN	EC-2.7.4.6
RXN-22485	EC-2.7.1.130
ADPSUGPPHOSPHAT-RXN	EC-3.6.1.21
DCDPKIN-RXN	EC-2.7.4.6
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
RXN0-20	EC-2.5.1.145
RXN-22974	EC-6.2.1.5
DTDPKIN-RXN	EC-2.7.4.6
DUDPKIN-RXN	EC-2.7.4.6
RXN-22238	EC-2.7.1.130
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN0-2921	EC-6.3.2.17
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	EC-1.1.5.4
RXN-8505	EC-1.14.14.9
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN66-3	EC-1.2.1.3
CPM-KDOSYNTH-RXN	EC-2.7.7.38
SUCCCOASYN-RXN	EC-6.2.1.5
RXN0-7066	
TRYPSYN-RXN	EC-4.2.1.20
RXN0-2381	EC-4.1.2.8
RXN0-2382	EC-4.2.1.122
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
PRAISOM-RXN	EC-5.3.1.24
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EC-5.4.99.12
RXN0-1147	EC-2.3.1.61
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
PYRUVFORMLY-RXN	EC-2.3.1.54
2OXOGLUTDECARB-RXN	EC-1.2.4.2
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
RXN-16329	
3.1.26.12-RXN	EC-3.1.26.12
RXN0-6478	EC-3.1.26.12
RXN0-6485	EC-3.1.26.12
RXN0-6522	EC-3.1.26.12
RXNQT-4168	EC-1.1.1.85
RXN0-6521	EC-3.1.26.12
RXN-18206	
RXN0-6981	EC-3.4.13.18
RXN-18207	
RXN0-6523	EC-3.1.26.12
RXN0-1321	EC-2.4.2.29
RXN-11838	EC-5.4.99.24
RXNQT-4171	EC-1.1.1.85
RXN-18204	
RXN-18205	
RXN0-1342	EC-2.4.99.17
RXN-20481	EC-2.3.1.39
RXNQT-4178	EC-1.1.1.85
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
RXN-18200	
RXN-18201	
3.6.3.30-RXN	EC-7.2.2.7
RXN0-1061	EC-3.6.4.10	EC-5.6.1.7
3.1.26.11-RXN	EC-3.1.26.11
RXN0-5244	
RXN-21404	
RXN-14971	EC-1.3.5.1
RXN0-5418	EC-2.3.1.193
RXN-20490	EC-2.3.1.39
RXN-21393	EC-1.3.5.1
RXN-9087	EC-1.3.1.84
RXN-17133	EC-3.9.1.3
RXNQT-4174	EC-1.1.1.85
3.2.2.21-RXN	EC-3.2.2.21
RXN-17132	EC-3.9.1.3
RXN-18202	
R601-RXN	EC-1.3.5.1
RXN-18203	
RXN0-5254	
RXN0-5244-yeast	
RXN0-5055	EC-2.1.3.15
PHOSPHASERSYN-RXN	EC-2.7.8.8
SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	EC-1.3.5.1
RXN-17131	EC-3.9.1.3
RXN-23752	EC-2.3.1.39
RXN-13158	EC-1.1.1.85
3-ISOPROPYLMALDEHYDROG-RXN	
RXN-14451	
RXN-7800	
RXN-15378	EC-1.3.5.1
GLUTARYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.6
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
GLUTARYL-COA-DEHYDROG-RXN	
RXN-9590	EC-2.3.1.274
GLUTACONYL-COA-DECARBOXYLASE-RXN	
RXNQT-4165	EC-1.1.1.85
RXN-20498	EC-2.3.1.39
RXN-18208	
RXN-23036	
RXN-18209	
RXN-20140	EC-1.1.1.144
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
TRANS-RXN66-1159	
TRANS-RXN-319	
1.1.1.8-RXN	EC-1.1.1.8
RXN-969	EC-1.1.3.15
RXN-15824	EC-1.1.1.144
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
RXN-14963	EC-1.3.5.1
RXN-14962	
RXN185E-16	EC-2.3.1.39
RXN0-5245	
RXN-14986	EC-1.1.1.85
RXN-18210	
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.144
ACETOLACTSYN-RXN	EC-2.2.1.6
RXN-18211	
RXN-20482	EC-2.3.1.39
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXN1YI0-24	
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.39
4.2.1.101-RXN	
RXN-21004	EC-4.1.2.61
RXN-11837	EC-5.4.99.23
RXN-13163	EC-4.2.1.33
RXN1YI0-14	EC-1.3.5.1
RXN-8991	
4.1.2.41-RXN	
3-ISOPROPYLMALISOM-RXN	
RXN-15447	
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-21005	EC-4.1.2.61
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
RXN-19743	
RXN-19744	
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
CITSYN-RXN	EC-2.3.3.3	EC-2.3.3.16	EC-2.3.3.1
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
SULFOCYS-RXN	EC-2.5.1.144
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
RXN-20673	
RXN-20674	
RXN-21006	EC-4.1.2.61
RXN0-5289	EC-1.1.1.60
TRANS-RXN-132	
NUCLEOTIDE-PYROPHOSPHATASE-RXN	EC-3.6.1.9
RXN-11244	
TSA-REDUCT-RXN	EC-1.1.1.60
RXN-13392	
4.1.3.26-RXN	EC-4.1.3.26
RXN-17951	EC-1.4.3.19
TRANS-RXN2R0Y-13	
CTPSYN-RXN	EC-6.3.4.2
GLURS-RXN	EC-6.1.1.17
RXN-14325	
KDO-8PSYNTH-RXN	EC-2.5.1.55
3.2.1.17-RXN	EC-3.2.1.17
RXN-8674	EC-1.4.3.19
2PGADEHYDRAT-RXN	EC-4.2.1.11
RXN-12456	EC-1.3.1.91
RXN-8672	EC-1.4.3.19
NMNAMIDOHYDRO-RXN	EC-3.5.1.42
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
1.4.3.19-RXN	EC-1.4.3.3	EC-1.4.3.19
RXN-12614	
RXN-13329	
ASPARTATEKIN-RXN	EC-2.7.2.4
TRANS-RXN-214	EC-7.2.1.1
RXN-12893	EC-4.2.1.104
TRANS-RXN-505	
RXN-9532	EC-1.1.1.100
RXN-8673	EC-1.4.3.19
RXN-22450	EC-7.2.1.1
RXN-21645	EC-1.1.1.100
TRANS-RXN-189	
R524-RXN	
RXN-21618	EC-1.1.1.100
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
TRANS-RXN-137	
RXN-21635	EC-1.1.1.100
1.2.1.13-RXN	EC-1.2.1.13
TRANSALDOL-RXN	EC-2.2.1.2
RXN-11476	EC-1.1.1.100
RXN-19736	EC-7.2.4.2
5.99.1.3-RXN	EC-5.6.2.2
RXN-9633	EC-1.1.1.100
XYLULOKIN-RXN	EC-2.7.1.17
RXN0-949	EC-2.8.1.8
DNA-LIGASE-NAD+-RXN	EC-6.5.1.6
RXN-16616	EC-1.1.1.100
RXN-17920	
GALACTITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.16
RXN-17918	
